Contract A,Contract B,Similarity,Size A,Size B
SafeProxy_0x5881.sol,SafeProxy_0xb068.sol,100.0,2072,2072
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x8be3.sol,100.0,35097,35070
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0x7598.sol,100.0,35070,35070
AdminUpgradeabilityProxy_0x6c3e.sol,AdminUpgradeabilityProxy_0x4580.sol,100.0,9862,9858
ERC1967Proxy_0x4fef.sol,ERC1967Proxy_0x8e02.sol,100.0,22127,22205
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0x18cc.sol,100.0,35070,35097
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x1c47.sol,100.0,28908,28908
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0x7714.sol,100.0,23725,23309
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x3328.sol,100.0,44163,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x238a.sol,100.0,44163,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x1a9d.sol,100.0,44163,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0,44163,44163
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0x511c.sol,100.0,40825,40825
MetaMorphoV1_1_0x31a5.sol,MetaMorphoV1_1_0x9b5e.sol,100.0,260053,260053
SafeProxy_0xb068.sol,SafeProxy_0x9a15.sol,100.0,2072,2072
SafeProxy_0xb068.sol,SafeProxy_0x8a25.sol,100.0,2072,2072
SafeProxy_0x8a25.sol,SafeProxy_0x9eb8.sol,100.0,2072,2072
SafeProxy_0x8a25.sol,SafeProxy_0x3c29.sol,100.0,2072,2072
SafeProxy_0xb068.sol,SafeProxy_0x9eb8.sol,100.0,2072,2072
SafeProxy_0xb068.sol,SafeProxy_0x3c29.sol,100.0,2072,2072
SafeProxy_0xb068.sol,SafeProxy_0xb317.sol,100.0,2072,2072
ERC1967Proxy_0xb007.sol,ERC1967Proxy_0xee7a.sol,100.0,26631,26631
ERC1967Proxy_0xb007.sol,ERC1967Proxy_0xebf6.sol,100.0,26631,26631
Proxy_0xb5ec.sol,Proxy_0x0341.sol,100.0,60478,60478
ERC721SeaDropCloneable_0x14d6.sol,ERC721SeaDropCloneable_0x672c.sol,100.0,153456,153456
AdminUpgradeabilityProxy_0x6c3e.sol,AdminUpgradeabilityProxy_0x394d.sol,100.0,9862,9862
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35070,35070
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x7598.sol,100.0,35097,35070
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xb007.sol,100.0,26631,26631
ERC1967Proxy_0x46ea.sol,ERC1967Proxy_0xfaf1.sol,100.0,40127,40127
TransparentUpgradeableProxy_0xf668.sol,ERC1967Proxy_0xfaf1.sol,100.0,40127,40127
TransparentUpgradeableProxy_0xf668.sol,ERC1967Proxy_0x46ea.sol,100.0,40127,40127
ERC1967Proxy_0x5ccb.sol,ERC1967Proxy_0x604d.sol,100.0,23612,23612
TransparentUpgradeableProxy_0x43de.sol,TransparentUpgradeableProxy_0x6874.sol,100.0,35765,35765
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35070,35070
SafeProxy_0x9a15.sol,SafeProxy_0xb317.sol,100.0,2072,2072
SafeProxy_0x9a15.sol,SafeProxy_0x3c29.sol,100.0,2072,2072
SafeProxy_0x9a15.sol,SafeProxy_0x9eb8.sol,100.0,2072,2072
SafeProxy_0x9a15.sol,SafeProxy_0x8a25.sol,100.0,2072,2072
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xee7a.sol,100.0,26631,26631
GnosisSafeProxy_0xa684.sol,GnosisSafeProxy_0xf633.sol,100.0,7892,7892
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xebf6.sol,100.0,26631,26631
TransparentUpgradeableProxy_0x1a9d.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0,44163,44163
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0,44163,44163
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0xf4e1.sol,100.0,23725,23725
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0x1a9d.sol,100.0,44163,44163
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0x7714.sol,100.0,23725,23309
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0,44163,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x1a9d.sol,100.0,44163,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x238a.sol,100.0,44163,44163
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35097,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x0366.sol,100.0,35097,35070
AuthorizedForwarder_0xf383.sol,AuthorizedForwarder_0x0c46.sol,100.0,18452,18452
SafeProxy_0x8a25.sol,SafeProxy_0xb317.sol,100.0,2072,2072
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0xebf6.sol,100.0,26631,26631
SafeProxy_0x9eb8.sol,SafeProxy_0xb317.sol,100.0,2072,2072
SafeProxy_0x3c29.sol,SafeProxy_0xb317.sol,100.0,2072,2072
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x85ec.sol,100.0,28886,28908
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35070,35070
TransparentUpgradeableProxy_0x6c96.sol,TransparentUpgradeableProxy_0x1c47.sol,100.0,28886,28908
SafeProxy_0x5881.sol,SafeProxy_0x9a15.sol,100.0,2072,2072
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xa129.sol,100.0,35097,35070
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0x6e2a.sol,100.0,38428,38428
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x7598.sol,100.0,35070,35070
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x18cc.sol,100.0,35070,35097
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0xa129.sol,100.0,35070,35070
MerkleDistributorWithDeadline_0x7b2a.sol,MerkleDistributorWithDeadline_0xd513.sol,100.0,36260,36260
DVN_0x589d.sol,DVN_0xa59b.sol,100.0,109056,109056
ForwarderV4_0x5389.sol,ForwarderV4_0xe65b.sol,100.0,37464,37464
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35097,35070
SafeProxy_0x5881.sol,SafeProxy_0x3c29.sol,100.0,2072,2072
SafeProxy_0x5881.sol,SafeProxy_0x8a25.sol,100.0,2072,2072
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x18cc.sol,100.0,35097,35097
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x7598.sol,100.0,35097,35070
AdminUpgradeabilityProxy_0x4580.sol,AdminUpgradeabilityProxy_0x394d.sol,100.0,9858,9862
SafeProxy_0x5881.sol,SafeProxy_0x9eb8.sol,100.0,2072,2072
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35070,35070
SafeProxy_0x9eb8.sol,SafeProxy_0x3c29.sol,100.0,2072,2072
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x8be3.sol,100.0,35070,35070
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0xa129.sol,100.0,35070,35070
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x18cc.sol,100.0,35070,35097
BeaconProxy_0x1f5f.sol,BeaconProxy_0x74a0.sol,100.0,23776,23776
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x7598.sol,100.0,35070,35070
SafeProxy_0x5881.sol,SafeProxy_0xb317.sol,100.0,2072,2072
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0x3d90.sol,99.99,35070,35060
TransparentUpgradeableProxy_0xec53.sol,TransparentUpgradeableProxy_0x3d90.sol,99.99,35070,35060
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x3d90.sol,99.99,35070,35060
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0x3d90.sol,99.99,35070,35060
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x3d90.sol,99.99,35097,35060
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x3d90.sol,99.99,35097,35060
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x3d90.sol,99.99,35070,35060
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0x3302.sol,99.85,36734,36317
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0x2222.sol,99.74,23725,23429
ERC1967Proxy_0x7714.sol,ERC1967Proxy_0x2222.sol,99.74,23309,23429
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0x2222.sol,99.74,23725,23429
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x1c47.sol,99.71,29086,28908
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x85ec.sol,99.71,29086,28908
TransparentUpgradeableProxy_0x02b8.sol,TransparentUpgradeableProxy_0x6c96.sol,99.7,29086,28886
Staking_0x8a4b.sol,StakingReward_0xb01f.sol,99.69,73021,75580
EthcoinProxy_0xe957.sol,PProxy_0x4c17.sol,99.66,22502,22504
UUPSProxy_0x031d.sol,ERC1967Proxy_0x2222.sol,99.53,24331,23429
MainnetSettlerIntent_0xf9ae.sol,MainnetSettler_0xf48a.sol,99.52,516231,513210
TransparentUpgradeableProxy_0x1c47.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,99.48,28908,28981
TransparentUpgradeableProxy_0x85ec.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,99.48,28908,28981
TransparentUpgradeableProxy_0x6c96.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,99.48,28886,28981
ERC1967Proxy_0x4fef.sol,EthcoinProxy_0xe957.sol,99.45,22127,22502
EthcoinProxy_0xe957.sol,ERC1967Proxy_0x8e02.sol,99.45,22502,22205
ERC1967Proxy_0x8e02.sol,PProxy_0x4c17.sol,99.38,22205,22504
ERC1967Proxy_0x4fef.sol,PProxy_0x4c17.sol,99.38,22127,22504
ERC1967Proxy_0x4fef.sol,ERC1967Proxy_0xc2f2.sol,99.29,22127,21946
ERC1967Proxy_0xc2f2.sol,ERC1967Proxy_0x8e02.sol,99.29,21946,22205
UUPSProxy_0x031d.sol,ERC1967Proxy_0x58d9.sol,99.27,24331,23725
UUPSProxy_0x031d.sol,ERC1967Proxy_0xf4e1.sol,99.27,24331,23725
UUPSProxy_0x031d.sol,ERC1967Proxy_0x7714.sol,99.27,24331,23309
TransparentUpgradeableProxy_0x02b8.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,99.14,29086,28981
ERC1967Proxy_0x3ef3.sol,ERC1967Proxy_0x5ccb.sol,98.82,24631,23612
ERC1967Proxy_0x3ef3.sol,ERC1967Proxy_0x604d.sol,98.82,24631,23612
TransparentUpgradeableProxy_0x3302.sol,TransparentUpgradeableProxy_0x1d68.sol,98.78,36317,43091
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0x1d68.sol,98.65,36734,43091
EthcoinProxy_0xe957.sol,ERC1967Proxy_0xc2f2.sol,98.61,22502,21946
OrderToken_0xabd4.sol,CTAToken_0x9068.sol,98.57,23151,23553
AdminUpgradeabilityProxy_0x6c3e.sol,FiatTokenProxy_0xa0b8.sol,98.52,9862,10684
FiatTokenProxy_0xa0b8.sol,AdminUpgradeabilityProxy_0x4580.sol,98.52,10684,9858
FiatTokenProxy_0xa0b8.sol,AdminUpgradeabilityProxy_0x394d.sol,98.52,10684,9862
TransparentUpgradeableProxy_0x3302.sol,ERC1967Proxy_0x511c.sol,98.5,36317,40825
ERC1967Proxy_0xc2f2.sol,PProxy_0x4c17.sol,98.5,21946,22504
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0x3302.sol,98.5,40825,36317
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0x511c.sol,98.34,36734,40825
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0x328f.sol,98.34,36734,40825
ERC1967Proxy_0x9ccc.sol,ERC1967Proxy_0x2222.sol,98.3,22647,23429
ERC1967Proxy_0x3ef3.sol,ERC1967Proxy_0xee7a.sol,98.16,24631,26631
ERC1967Proxy_0x3ef3.sol,ERC1967Proxy_0xebf6.sol,98.16,24631,26631
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x3ef3.sol,98.16,26631,24631
ERC1967Proxy_0xb007.sol,ERC1967Proxy_0x3ef3.sol,98.16,26631,24631
ERC721SeaDropCloneable_0x14d6.sol,ERC721SeaDrop_0x31bc.sol,98.12,153456,133928
ERC721SeaDrop_0x31bc.sol,ERC721SeaDropCloneable_0x672c.sol,98.12,133928,153456
ENA_0x57e1.sol,SynFuturesToken_0x6e15.sol,98.09,76453,67820
ERC1967Proxy_0x9ccc.sol,ERC1967Proxy_0x7714.sol,97.96,22647,23309
ERC1967Proxy_0xf4e1.sol,ERC1967Proxy_0x9ccc.sol,97.96,23725,22647
ERC1967Proxy_0x58d9.sol,ERC1967Proxy_0x9ccc.sol,97.96,23725,22647
ZEROBASE_0xfab9.sol,LayerZeroToken_0x6985.sol,97.95,139863,132197
CTAToken_0x9068.sol,Open_0xa227.sol,97.85,23553,24861
FF_0xfa1c.sol,Succinct_0x6bef.sol,97.84,150922,145962
OrderToken_0xabd4.sol,Open_0xa227.sol,97.78,23151,24861
TransparentUpgradeableProxy_0x33b4.sol,TransparentUpgradeableProxy_0x3302.sol,97.78,36593,36317
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0x1d68.sol,97.76,40825,43091
ERC1967Proxy_0x511c.sol,TransparentUpgradeableProxy_0x1d68.sol,97.76,40825,43091
TransparentUpgradeableProxy_0x85ec.sol,ERC1967Proxy_0x5ccb.sol,97.72,28908,23612
TransparentUpgradeableProxy_0x85ec.sol,ERC1967Proxy_0x604d.sol,97.72,28908,23612
TransparentUpgradeableProxy_0x1c47.sol,ERC1967Proxy_0x5ccb.sol,97.72,28908,23612
TransparentUpgradeableProxy_0x1c47.sol,ERC1967Proxy_0x604d.sol,97.72,28908,23612
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x604d.sol,97.71,28886,23612
TransparentUpgradeableProxy_0x6c96.sol,ERC1967Proxy_0x5ccb.sol,97.71,28886,23612
TransparentUpgradeableProxy_0x33b4.sol,TransparentUpgradeableProxy_0xb3fa.sol,97.68,36593,36734
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0x5ccb.sol,97.65,29086,23612
TransparentUpgradeableProxy_0x02b8.sol,ERC1967Proxy_0x604d.sol,97.65,29086,23612
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x43de.sol,97.59,38428,35765
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x43de.sol,97.59,38428,35765
ERC1967Proxy_0x6e2a.sol,TransparentUpgradeableProxy_0x6874.sol,97.59,38428,35765
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0x6874.sol,97.59,38428,35765
UUPSProxy_0x031d.sol,ERC1967Proxy_0x9ccc.sol,97.57,24331,22647
OrderToken_0xabd4.sol,TetherUSD_0x3f69.sol,97.28,23151,25680
OptimizedTransparentUpgradeableProxy_0x1732.sol,ERC1967Proxy_0x604d.sol,97.23,28981,23612
ERC1967Proxy_0x5ccb.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,97.23,23612,28981
TetherUSD_0x3f69.sol,CTAToken_0x9068.sol,97.21,25680,23553
ApprovalProxy_0xbbbf.sol,RelayApprovalProxyV3_0xccc8.sol,97.18,93233,99570
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb007.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x604d.sol,97.17,26631,23612
ERC1967Proxy_0xb007.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0x5ccb.sol,97.17,26631,23612
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0xfaf1.sol,97.15,40825,40127
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0xf668.sol,97.15,40825,40127
ERC1967Proxy_0x511c.sol,ERC1967Proxy_0xfaf1.sol,97.15,40825,40127
ERC1967Proxy_0x511c.sol,ERC1967Proxy_0x46ea.sol,97.15,40825,40127
ERC1967Proxy_0x511c.sol,TransparentUpgradeableProxy_0xf668.sol,97.15,40825,40127
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0x46ea.sol,97.15,40825,40127
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0x5ccb.sol,97.1,23776,23612
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x604d.sol,97.1,23776,23612
BeaconProxy_0x1f5f.sol,ERC1967Proxy_0x604d.sol,97.1,23776,23612
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x5ccb.sol,97.1,23776,23612
UUPSProxy_0x031d.sol,VaultProxy_0x0e60.sol,97.08,24331,25499
